Date,Department,Expense_Category,Expense_Amount
08-10-2024,Marketing,Salaries,123000
06-08-2024,Admin,Logistics,46059
17-07-2024,Admin,Salaries,89619
04-02-2024,Admin,Salaries,20974
27-01-2024,Admin,Advertising,42088
11-06-2024,Finance,Trade Promotion,50854
18-01-2024,Marketing,Logistics,9060
15-12-2024,Admin,Office Expenses,56601
16-01-2024,Supply Chain,Salaries,134410
07-06-2024,Marketing,Office Expenses,142052
12-11-2024,Admin,Advertising,193400
17-08-2024,Sales,Trade Promotion,4722
29-08-2024,Marketing,Salaries,164578
16-10-2024,Admin,Office Expenses,153547
08-05-2024,Finance,Advertising,126494
13-03-2024,Sales,Trade Promotion,175313
14-07-2024,Sales,Office Expenses,89662
07-05-2024,Supply Chain,Logistics,170591
09-11-2024,Admin,Salaries,136982
20-01-2024,Admin,Advertising,83761
27-07-2024,Marketing,Office Expenses,107127
20-06-2024,Supply Chain,Logistics,180704
28-10-2024,Sales,Office Expenses,40073
28-12-2024,Finance,Advertising,70091
25-12-2024,Admin,Salaries,176659
23-07-2024,Sales,Trade Promotion,24876
05-09-2024,Admin,Trade Promotion,6385
03-07-2024,Admin,Trade Promotion,157073
14-06-2024,Finance,Advertising,78298
29-12-2024,Finance,Trade Promotion,187947
28-09-2024,Finance,Salaries,66573
18-12-2024,Marketing,Advertising,16030
03-06-2024,Finance,Office Expenses,40443
16-08-2024,Finance,Office Expenses,175394
26-07-2024,Finance,Advertising,148207
30-11-2024,Finance,Salaries,42740
20-03-2024,Supply Chain,Advertising,108273
13-05-2024,Marketing,Advertising,64926
29-01-2024,Admin,Office Expenses,17954
22-10-2024,Marketing,Advertising,30682
22-11-2024,Marketing,Salaries,80133
07-04-2024,Marketing,Trade Promotion,188835
18-04-2024,Finance,Salaries,76120
06-11-2024,Marketing,Salaries,150146
09-04-2024,Supply Chain,Office Expenses,177616
08-10-2024,Admin,Trade Promotion,156254
26-01-2024,Marketing,Logistics,142800
02-09-2024,Admin,Advertising,110573
07-10-2024,Sales,Trade Promotion,54880
21-12-2024,Sales,Office Expenses,128953
18-06-2024,Marketing,Advertising,67906
24-06-2024,Supply Chain,Office Expenses,67243
02-01-2024,Sales,Advertising,31458
14-04-2024,Sales,Office Expenses,8526
01-04-2024,Supply Chain,Office Expenses,183702
13-09-2024,Finance,Office Expenses,140952
13-05-2024,Marketing,Advertising,40011
09-02-2024,Sales,Logistics,90461
18-10-2024,Supply Chain,Trade Promotion,169957
13-09-2024,Sales,Advertising,123445
15-01-2024,Admin,Logistics,140797
11-07-2024,Sales,Trade Promotion,52464
04-12-2024,Admin,Advertising,120517
25-01-2024,Finance,Trade Promotion,137210
18-03-2024,Supply Chain,Logistics,37354
07-12-2024,Finance,Office Expenses,124588
08-12-2024,Admin,Salaries,62450
11-03-2024,Sales,Trade Promotion,179155
16-10-2024,Finance,Advertising,10986
23-09-2024,Admin,Salaries,125602
01-12-2024,Finance,Trade Promotion,30921
20-10-2024,Admin,Trade Promotion,109045
04-01-2024,Sales,Salaries,14021
25-02-2024,Finance,Office Expenses,176433
13-04-2024,Supply Chain,Advertising,23452
17-10-2024,Finance,Advertising,143213
30-05-2024,Admin,Office Expenses,68201
06-10-2024,Marketing,Logistics,175749
04-01-2024,Sales,Trade Promotion,41117
10-09-2024,Finance,Logistics,85675
05-04-2024,Admin,Salaries,25079
28-06-2024,Supply Chain,Advertising,67215
17-08-2024,Sales,Salaries,142055
19-12-2024,Sales,Trade Promotion,156887
29-02-2024,Supply Chain,Advertising,176548
10-06-2024,Supply Chain,Salaries,155883
13-10-2024,Admin,Advertising,120756
05-02-2024,Finance,Advertising,189540
26-03-2024,Sales,Advertising,98194
04-02-2024,Marketing,Logistics,79940
18-06-2024,Supply Chain,Salaries,186756
15-01-2024,Supply Chain,Office Expenses,121831
25-02-2024,Sales,Advertising,38340
17-08-2024,Supply Chain,Trade Promotion,171405
15-05-2024,Supply Chain,Logistics,71472
15-08-2024,Finance,Logistics,148660
22-12-2024,Admin,Office Expenses,49511
09-08-2024,Admin,Office Expenses,16994
30-08-2024,Supply Chain,Logistics,87661
23-01-2024,Marketing,Logistics,109914
22-08-2024,Supply Chain,Salaries,8306
22-11-2024,Marketing,Logistics,53229
29-05-2024,Marketing,Logistics,102381
05-02-2024,Marketing,Advertising,125418
15-06-2024,Marketing,Office Expenses,42299
01-04-2024,Sales,Salaries,105037
30-12-2024,Supply Chain,Logistics,69580
07-02-2024,Sales,Salaries,113211
26-10-2024,Marketing,Office Expenses,46613
28-05-2024,Finance,Logistics,76194
04-10-2024,Admin,Advertising,141863
10-09-2024,Supply Chain,Logistics,69332
19-09-2024,Supply Chain,Office Expenses,102506
21-01-2024,Sales,Salaries,78613
20-06-2024,Marketing,Advertising,17769
29-11-2024,Marketing,Trade Promotion,56623
24-10-2024,Sales,Trade Promotion,21424
14-05-2024,Supply Chain,Office Expenses,17781
09-03-2024,Sales,Office Expenses,20626
22-12-2024,Admin,Advertising,20171
26-05-2024,Supply Chain,Salaries,45291
29-03-2024,Marketing,Logistics,168955
09-01-2024,Finance,Trade Promotion,28961
21-02-2024,Finance,Trade Promotion,123647
19-06-2024,Supply Chain,Office Expenses,75778
14-12-2024,Supply Chain,Office Expenses,68850
22-08-2024,Marketing,Salaries,190486
04-12-2024,Finance,Advertising,87657
27-09-2024,Sales,Trade Promotion,19331
09-04-2024,Sales,Salaries,187414
22-03-2024,Sales,Advertising,66945
09-07-2024,Sales,Trade Promotion,72567
04-10-2024,Finance,Logistics,56965
17-07-2024,Finance,Salaries,79000
01-03-2024,Marketing,Trade Promotion,135676
08-07-2024,Supply Chain,Advertising,126933
18-09-2024,Finance,Trade Promotion,101596
13-01-2024,Finance,Logistics,181830
02-07-2024,Supply Chain,Office Expenses,61136
21-08-2024,Admin,Office Expenses,40410
21-10-2024,Sales,Salaries,72907
15-12-2024,Finance,Advertising,56444
21-07-2024,Finance,Logistics,152208
14-01-2024,Sales,Advertising,19941
06-02-2024,Finance,Salaries,57499
14-01-2024,Supply Chain,Logistics,40147
21-04-2024,Finance,Trade Promotion,85589
29-05-2024,Marketing,Office Expenses,65038
13-10-2024,Finance,Trade Promotion,79020
22-03-2024,Sales,Trade Promotion,169833
25-11-2024,Supply Chain,Advertising,135249
31-05-2024,Finance,Advertising,195729
06-10-2024,Admin,Salaries,60285
08-06-2024,Supply Chain,Trade Promotion,125598
22-12-2024,Supply Chain,Trade Promotion,68051
30-06-2024,Admin,Trade Promotion,188099
03-02-2024,Finance,Office Expenses,96386
26-04-2024,Marketing,Logistics,103259
25-11-2024,Sales,Office Expenses,66350
14-10-2024,Supply Chain,Trade Promotion,186490
29-10-2024,Marketing,Salaries,161935
06-05-2024,Sales,Logistics,61224
22-07-2024,Sales,Logistics,143709
10-02-2024,Finance,Trade Promotion,127696
09-12-2024,Marketing,Salaries,15470
03-02-2024,Supply Chain,Office Expenses,114300
16-02-2024,Supply Chain,Advertising,125956
20-01-2024,Finance,Office Expenses,171358
14-12-2024,Supply Chain,Logistics,97165
28-09-2024,Sales,Salaries,106612
15-04-2024,Finance,Trade Promotion,174962
29-12-2024,Sales,Office Expenses,63248
28-06-2024,Sales,Logistics,64797
16-06-2024,Admin,Advertising,138509
01-01-2024,Admin,Trade Promotion,40591
19-09-2024,Finance,Trade Promotion,60223
10-08-2024,Sales,Advertising,140447
20-08-2024,Finance,Office Expenses,17037
07-11-2024,Admin,Logistics,33294
04-10-2024,Finance,Office Expenses,60126
16-01-2024,Marketing,Advertising,10698
04-10-2024,Finance,Salaries,179521
18-09-2024,Marketing,Salaries,100371
26-04-2024,Finance,Advertising,38889
25-08-2024,Marketing,Trade Promotion,131224
01-01-2024,Marketing,Logistics,177709
02-01-2024,Marketing,Logistics,114363
06-08-2024,Marketing,Trade Promotion,173401
10-03-2024,Supply Chain,Salaries,134921
12-07-2024,Supply Chain,Trade Promotion,121546
06-02-2024,Finance,Salaries,23471
20-07-2024,Admin,Office Expenses,88362
17-01-2024,Sales,Advertising,166980
24-05-2024,Supply Chain,Salaries,13714
06-01-2024,Marketing,Trade Promotion,107538
30-07-2024,Supply Chain,Advertising,78619
30-09-2024,Marketing,Salaries,6370
16-05-2024,Admin,Trade Promotion,45662
01-02-2024,Supply Chain,Office Expenses,28905
24-05-2024,Sales,Trade Promotion,189503
18-02-2024,Sales,Office Expenses,63034
20-05-2024,Supply Chain,Advertising,179552
01-01-2024,Supply Chain,Office Expenses,165954
30-12-2024,Sales,Salaries,194103
07-02-2024,Admin,Office Expenses,26873
23-08-2024,Finance,Trade Promotion,85660
07-02-2024,Supply Chain,Salaries,37946
05-02-2024,Supply Chain,Office Expenses,181776
20-07-2024,Sales,Trade Promotion,95959
08-04-2024,Sales,Advertising,60391
08-10-2024,Sales,Logistics,118546
30-10-2024,Sales,Trade Promotion,198668
18-12-2024,Supply Chain,Salaries,156678
16-06-2024,Marketing,Advertising,151451
18-07-2024,Sales,Advertising,142225
01-07-2024,Admin,Advertising,81714
09-09-2024,Admin,Office Expenses,104083
02-01-2024,Supply Chain,Advertising,55106
14-12-2024,Sales,Advertising,137140
30-03-2024,Finance,Logistics,61725
03-04-2024,Sales,Office Expenses,107030
12-11-2024,Supply Chain,Trade Promotion,77291
08-11-2024,Finance,Trade Promotion,144055
05-03-2024,Supply Chain,Salaries,124695
03-04-2024,Marketing,Advertising,69025
13-01-2024,Admin,Salaries,13613
20-08-2024,Supply Chain,Trade Promotion,198231
28-05-2024,Sales,Advertising,191535
01-03-2024,Sales,Advertising,129208
09-02-2024,Supply Chain,Trade Promotion,161446
31-03-2024,Admin,Advertising,192557
15-07-2024,Supply Chain,Office Expenses,93764
13-01-2024,Supply Chain,Advertising,19468
22-07-2024,Sales,Advertising,39133
02-02-2024,Sales,Salaries,75882
03-04-2024,Sales,Logistics,192402
17-02-2024,Admin,Trade Promotion,30770
13-05-2024,Sales,Trade Promotion,77348
26-11-2024,Finance,Trade Promotion,109859
19-10-2024,Finance,Salaries,64415
21-10-2024,Supply Chain,Advertising,176757
23-06-2024,Supply Chain,Logistics,38109
24-08-2024,Marketing,Salaries,21499
