Invoice_Number,Customer,Invoice_Date,Due_Date,Invoice_Amount,Payment_Status
INV100000,Sharma Distributors,12-04-2024,11-06-2024,13325,Paid
INV100001,Verma Traders,14-12-2024,13-01-2025,48671,Partially Paid
INV100002,Verma Traders,27-09-2024,11-11-2024,5592,Partially Paid
INV100003,Gupta Retailers,16-04-2024,31-05-2024,45044,Paid
INV100004,Sharma Distributors,12-03-2024,11-05-2024,7892,Unpaid
INV100005,Singh Enterprises,07-07-2024,05-09-2024,41873,Paid
INV100006,Singh Enterprises,21-01-2024,21-03-2024,4942,Paid
INV100007,Singh Enterprises,12-04-2024,12-05-2024,47710,Unpaid
INV100008,Verma Traders,01-05-2024,31-05-2024,12693,Paid
INV100009,Singh Enterprises,02-08-2024,01-09-2024,4314,Paid
INV100010,Sharma Distributors,26-11-2024,10-01-2025,28405,Paid
INV100011,Sharma Distributors,28-03-2024,27-05-2024,46161,Paid
INV100012,Singh Enterprises,09-04-2024,24-05-2024,24803,Partially Paid
INV100013,Agarwal Stores,25-12-2024,08-02-2025,37750,Paid
INV100014,Singh Enterprises,31-05-2024,30-06-2024,27506,Paid
INV100015,Agarwal Stores,10-05-2024,09-07-2024,21137,Paid
INV100016,Gupta Retailers,29-05-2024,13-06-2024,2648,Paid
INV100017,Gupta Retailers,04-11-2024,04-12-2024,41936,Unpaid
INV100018,Sharma Distributors,14-09-2024,29-09-2024,4246,Paid
INV100019,Verma Traders,09-12-2024,07-02-2025,15469,Paid
INV100020,Sharma Distributors,20-10-2024,04-12-2024,20185,Paid
INV100021,Sharma Distributors,10-07-2024,25-07-2024,38638,Partially Paid
INV100022,Verma Traders,03-10-2024,02-11-2024,21573,Unpaid
INV100023,Sharma Distributors,09-06-2024,24-07-2024,41265,Paid
INV100024,Verma Traders,09-11-2024,24-11-2024,34779,Paid
INV100025,Sharma Distributors,22-01-2024,06-02-2024,8288,Paid
INV100026,Gupta Retailers,09-09-2024,24-10-2024,14293,Paid
INV100027,Agarwal Stores,23-08-2024,07-10-2024,49120,Paid
INV100028,Sharma Distributors,10-12-2024,25-12-2024,21529,Paid
INV100029,Agarwal Stores,18-02-2024,18-04-2024,20999,Partially Paid
INV100030,Singh Enterprises,28-02-2024,28-04-2024,3011,Paid
INV100031,Sharma Distributors,18-06-2024,02-08-2024,8247,Paid
INV100032,Gupta Retailers,06-07-2024,04-09-2024,22524,Paid
INV100033,Verma Traders,27-09-2024,26-11-2024,41183,Paid
