Invoice_Number,Invoice_Date,Customer_Name,Region,Product,Sales_Amount
INV100000,45394,Sharma Distributors,East,Toothpaste 150g,13325
INV100001,45640,Verma Traders,North,Toothpaste 150g,48671
INV100002,45562,Verma Traders,South,Detergent 1kg,5592
INV100003,45398,Gupta Retailers,North,Shampoo 180ml,45044
INV100004,45363,Sharma Distributors,North,Shampoo 180ml,7892
INV100005,45480,Singh Enterprises,South,Biscuits 200g,41873
INV100006,45312,Singh Enterprises,East,Detergent 1kg,4942
INV100007,45394,Singh Enterprises,West,Detergent 1kg,47710
INV100008,45413,Verma Traders,South,Soap 100g,12693
INV100009,45506,Singh Enterprises,North,Shampoo 180ml,4314
INV100010,45622,Sharma Distributors,South,Toothpaste 150g,28405
INV100011,45379,Sharma Distributors,South,Soap 100g,46161
INV100012,45391,Singh Enterprises,North,Detergent 1kg,24803
INV100013,45651,Agarwal Stores,North,Soap 100g,37750
INV100014,45443,Singh Enterprises,West,Shampoo 180ml,27506
INV100015,45422,Agarwal Stores,South,Detergent 1kg,21137
INV100016,45441,Gupta Retailers,North,Shampoo 180ml,2648
INV100017,45600,Gupta Retailers,East,Soap 100g,41936
INV100018,45549,Sharma Distributors,East,Biscuits 200g,4246
INV100019,45635,Verma Traders,East,Toothpaste 150g,15469
INV100020,45585,Sharma Distributors,East,Toothpaste 150g,20185
INV100021,45483,Sharma Distributors,South,Biscuits 200g,38638
INV100022,45568,Verma Traders,South,Biscuits 200g,21573
INV100023,45452,Sharma Distributors,West,Biscuits 200g,41265
INV100024,45605,Verma Traders,South,Shampoo 180ml,34779
INV100025,45313,Sharma Distributors,North,Detergent 1kg,8288
INV100026,45544,Gupta Retailers,West,Biscuits 200g,14293
INV100027,45527,Agarwal Stores,South,Shampoo 180ml,49120
INV100028,45636,Sharma Distributors,South,Soap 100g,21529
INV100029,45340,Agarwal Stores,North,Soap 100g,20999
INV100030,45350,Singh Enterprises,North,Biscuits 200g,3011
INV100031,45461,Sharma Distributors,North,Soap 100g,8247
INV100032,45479,Gupta Retailers,East,Biscuits 200g,22524
